position,fen,rubichess_move,rubichess_eval,rubichess_nodes,rubichess_time,rubichess_success,stockfish_move,stockfish_eval,stockfish_nodes,stockfish_time,stockfish_success
114,8/8/8/3k4/3P4/3K4/8/8 b - - 0 1,d5c6,0,29656,0.02456808090209961,True,d5d6,-12,44786,0.01409912109375,True
115,8/8/3k4/8/3P4/8/4K3/8 b - - 2 2,d6e6,0,5997,0.005388736724853516,True,d6e6,-18,37414,0.01580500602722168,True
116,8/8/2k5/8/3P4/3K4/8/8 w - - 1 2,d3e4,9,10385,0.0,True,d3e4,0,97556,0.02321171760559082,True
117,8/8/4k3/8/3P4/3K4/8/8 w - - 1 2,d3c4,0,14428,0.0063457489013671875,True,d3e4,0,117465,0.03729581832885742,True
118,8/8/3k4/8/3P4/3K4/8/8 w - - 1 2,d3c4,0,24856,0.0,True,d3e4,0,77188,0.026094436645507812,True
119,8/8/3k4/3P4/8/3K4/8/8 b - - 0 2,d6d5,0,7216,0.008121013641357422,True,d6d5,0,22457,0.013602972030639648,True
120,8/8/3k4/8/3P4/8/3K4/8 b - - 2 2,d6e6,0,18967,0.003500223159790039,True,d6c7,-17,48731,0.017285823822021484,True
121,8/8/8/2k5/2P5/2K5/8/8 w - - 0 1,c3b3,0,8198,0.0,True,c3d3,0,57722,0.008931875228881836,True
122,8/8/3k4/8/2P5/8/2K5/8 w - - 2 2,c2b3,0,21619,0.0066683292388916016,True,c2d2,15,38116,0.023732662200927734,True
123,8/8/8/2k5/2P5/8/1K6/8 b - - 1 1,c5b4,0,7115,0.0,True,c5c4,0,56624,0.012210845947265625,True
124,8/8/3k4/8/2P5/3K4/8/8 w - - 2 2,d3d4,13,21348,0.007959604263305664,True,d3d4,1,56742,0.019962310791015625,True
125,8/8/8/2k5/2P5/8/2K5/8 b - - 1 1,c5c4,0,5157,0.0040204524993896484,True,c5c4,0,21511,0.010335922241210938,True
126,8/8/2k5/8/2P5/8/2K5/8 w - - 2 2,c2c3,16,18978,0.008936643600463867,True,c2b3,18,26796,0.014667987823486328,True
127,8/8/1k6/8/2P5/3K4/8/8 w - - 2 2,d3d4,12,15084,0.00492095947265625,True,d3d4,0,69738,0.0253603458404541,True
128,8/8/8/8/8/3k4/3p4/3K3R w - - 0 1,h1h2,804,88709,0.03229784965515137,True,h1g1,506,50760,0.01448965072631836,True
129,8/8/8/8/8/3k4/3p3R/3K4 b - - 1 1,d3e4,-799,62566,0.024143218994140625,True,d3e4,-518,28669,0.01098012924194336,True
130,8/7R/8/8/8/3k4/3p4/3K4 b - - 1 1,d3e3,-794,48564,0.021753787994384766,True,d3e4,-545,48324,0.02093672752380371,True
131,8/8/8/8/2k5/8/3p4/3KR3 w - - 2 2,d1d2,788,68999,0.02572464942932129,True,e1e2,507,42197,0.00540924072265625,True
132,8/8/8/8/8/3k4/3p4/3K1R2 b - - 1 1,d3e3,-809,47873,0.015720367431640625,True,d3c4,-515,50319,0.02239823341369629,True
133,8/8/7R/8/8/3k4/3p4/3K4 b - - 1 1,d3e3,-805,91898,0.03535914421081543,True,d3e3,-523,34429,0.012192010879516602,True
134,8/8/8/8/3k4/8/3p3R/3K4 w - - 2 2,h2d2,795,105130,0.025315284729003906,True,h2e2,510,53727,0.020598173141479492,True
